090713-000002,11.60,76.80
090713-000101,11.60,76.80
090713-000202,11.50,76.70
090713-000302,11.50,76.50
090713-000401,11.50,77.40
090713-000502,11.40,77.80
090713-000602,11.30,78.30
090713-000701,11.20,78.60
090713-000802,11.10,78.60
090713-000902,11.20,78.90
090713-001001,11.20,79.00
090713-001102,11.20,79.00
090713-001202,11.20,78.80
090713-001301,11.10,78.80
090713-001401,11.10,78.70
090713-001502,11.10,78.50
090713-001601,11.10,78.50
090713-001701,11.10,78.20
090713-001802,11.00,78.50
090713-001902,11.10,78.60
090713-002001,10.90,78.80
090713-002102,10.90,79.10
090713-002202,10.80,78.90
090713-002301,10.80,79.10
090713-002402,10.80,79.30
090713-002502,10.80,79.20
090713-002601,10.80,79.20
090713-002701,10.80,79.30
090713-002802,10.80,79.50
090713-002901,10.70,79.20
090713-003001,10.70,79.30
090713-003102,10.60,79.50
090713-003202,10.50,79.80
090713-003301,10.50,80.00
090713-003402,10.40,80.50
090713-003502,10.40,80.40
090713-003601,10.30,80.10
090713-003702,10.30,80.20
090713-003802,10.20,80.50
090713-003901,10.20,80.70
090713-004002,10.20,80.90
090713-004102,10.20,81.00
090713-004201,10.20,81.40
090713-004302,10.10,81.90
090713-004402,10.10,82.00
090713-004501,10.20,81.50
090713-004601,10.20,82.10
090713-004702,10.10,82.40
090713-004802,10.10,81.90
090713-004901,10.10,81.80
090713-005002,10.20,81.40
090713-005102,10.10,81.00
090713-005201,10.10,81.50
090713-005302,10.10,81.50
090713-005402,10.00,81.30
090713-005501,10.00,81.40
090713-005602,10.00,81.70
090713-005702,10.00,81.60
090713-005801,9.90,81.20
090713-005902,9.90,81.30
090713-010002,9.90,81.10
090713-010101,9.90,81.30
090713-010202,10.00,81.50
090713-010302,10.00,81.10
090713-010401,9.90,81.10
090713-010502,9.90,81.10
090713-010602,9.90,81.30
090713-010701,9.90,81.40
090713-010801,9.90,81.70
090713-010902,9.80,81.50
090713-011002,9.80,80.30
090713-011101,9.70,80.70
090713-011202,9.60,81.60
090713-011302,9.50,82.60
090713-011401,9.60,83.10
090713-011502,9.70,83.10
090713-011602,9.70,82.90
090713-011701,9.70,82.40
090713-011802,9.70,81.80
090713-011902,9.70,81.70
090713-012001,9.70,81.40
090713-012102,9.60,80.50
090713-012202,9.60,79.80
090713-012301,9.50,80.30
090713-012401,9.50,81.30
090713-012502,9.50,81.70
090713-012602,9.40,80.90
090713-012701,9.40,81.60
090713-012802,9.40,82.20
090713-012902,9.30,82.60
090713-013001,9.40,82.90
090713-013102,9.40,82.80
090713-013202,9.40,82.50
090713-013301,9.40,81.80
090713-013402,9.40,82.20
090713-013502,9.30,82.20
090713-013601,9.20,82.00
090713-013702,9.20,81.80
090713-013802,9.10,82.00
090713-013901,9.10,82.20
090713-014001,9.10,81.80
090713-014102,9.20,81.20
090713-014201,9.20,81.00
090713-014301,9.20,80.90
090713-014402,9.10,81.10
090713-014502,9.00,81.30
090713-014601,9.10,81.40
090713-014702,9.10,81.20
090713-014802,9.10,81.40
090713-014901,9.10,82.20
090713-015002,9.10,82.30
090713-015102,9.10,82.60
090713-015201,9.20,82.40
090713-015302,9.20,82.40
090713-015402,9.30,82.20
090713-015501,9.30,82.30
090713-015602,9.40,81.90
090713-015702,9.40,81.80
090713-015801,9.40,81.10
090713-015901,9.40,81.10
090713-020002,9.40,80.50
090713-020102,9.30,79.30
090713-020201,9.20,79.90
090713-020302,9.10,80.10
090713-020402,9.00,80.10
090713-020501,9.00,79.90
090713-020602,8.90,80.50
090713-020702,8.90,81.00
090713-020801,8.90,81.20
090713-020902,8.90,81.80
090713-021002,8.90,81.60
090713-021101,8.90,81.40
090713-021202,8.90,81.20
090713-021302,8.80,81.10
090713-021401,8.80,81.30
090713-021501,8.80,81.40
090713-021602,8.70,81.60
090713-021702,8.70,82.00
090713-021801,8.70,82.10
090713-021902,8.80,81.70
090713-022002,8.80,81.90
090713-022101,8.80,81.80
090713-022202,8.80,81.80
090713-022302,8.80,82.10
090713-022401,8.80,81.50
090713-022502,8.80,81.10
090713-022602,8.80,80.60
090713-022701,8.70,81.50
090713-022802,8.70,82.20
090713-022902,8.70,82.60
090713-023001,8.70,82.50
090713-023101,8.70,82.30
090713-023202,8.70,82.20
090713-023302,8.70,82.10
090713-023401,8.60,82.30
090713-023502,8.60,82.50
090713-023602,8.60,82.70
090713-023701,8.60,82.80
090713-023802,8.50,82.60
090713-023902,8.60,82.60
090713-024001,8.60,82.50
090713-024102,8.60,82.80
090713-024202,8.70,83.10
090713-024301,8.80,82.60
090713-024402,8.80,81.90
090713-024502,8.80,81.20
090713-024601,8.70,82.60
090713-024701,8.70,83.60
090713-024802,8.70,82.70
090713-024902,8.80,82.80
090713-025001,8.80,83.40
090713-025102,8.90,83.40
090713-025202,8.90,82.80
090713-025301,9.00,82.30
090713-025402,9.00,82.30
090713-025502,9.00,82.40
090713-025601,9.00,81.60
090713-025702,9.00,81.50
090713-025802,9.00,81.90
090713-025901,8.90,82.50
090713-030002,9.00,82.20
090713-030102,9.10,82.10
090713-030201,9.10,81.70
090713-030302,9.10,81.80
090713-030402,9.10,81.40
090713-030501,9.00,81.60
090713-030601,9.00,81.70
090713-030702,9.00,81.60
090713-030802,9.00,81.50
090713-030901,9.10,81.60
090713-031002,9.10,81.50
090713-031102,9.00,81.30
090713-031201,9.00,81.60
090713-031302,9.00,81.80
090713-031402,9.00,81.80
090713-031501,9.10,81.80
090713-031602,9.10,82.00
090713-031702,9.10,82.50
090713-031801,9.10,82.20
090713-031902,9.10,81.90
090713-032002,9.10,81.80
090713-032101,9.00,81.90
090713-032201,9.10,82.00
090713-032302,9.10,82.10
090713-032402,9.10,82.20
090713-032501,9.10,81.60
090713-032602,9.20,81.80
090713-032702,9.20,81.60
090713-032801,9.20,81.60
090713-032902,9.20,81.70
090713-033002,9.20,81.40
090713-033101,9.20,81.40
090713-033202,9.20,81.40
090713-033302,9.20,81.50
090713-033401,9.10,81.60
090713-033501,9.10,81.60
090713-033602,9.10,81.70
090713-033702,9.10,81.50
090713-033801,9.20,81.40
090713-033902,9.20,81.40
090713-034002,9.20,81.20
090713-034101,9.20,81.10
090713-034202,9.20,81.20
090713-034302,9.30,81.10
090713-034401,9.20,81.00
090713-034502,9.20,80.90
090713-034602,9.30,80.70
090713-034701,9.30,80.80
090713-034802,9.30,81.20
090713-034902,9.30,81.00
090713-035001,9.40,80.30
090713-035101,9.40,81.20
090713-035202,9.40,81.10
090713-035302,9.50,81.20
090713-035401,9.50,81.20
090713-035502,9.50,81.50
090713-035602,9.50,81.30
090713-035701,9.50,80.50
090713-035802,9.50,80.10
090713-035902,9.60,80.00
090713-040001,9.60,80.30
090713-040102,9.60,80.40
090713-040202,9.60,80.20
090713-040301,9.60,80.00
090713-040402,9.50,80.50
090713-040502,9.60,80.50
090713-040601,9.50,80.50
090713-040701,9.50,80.10
090713-040802,9.50,80.00
090713-040902,9.50,80.40
090713-041001,9.50,80.30
090713-041102,9.50,80.30
090713-041202,9.60,80.70
090713-041301,9.60,80.80
090713-041402,9.60,80.80
090713-041502,9.60,80.90
090713-041601,9.60,81.10
090713-041702,9.60,81.70
090713-041802,9.60,81.60
090713-041901,9.60,81.40
090713-042001,9.60,80.80
090713-042102,9.70,80.90
090713-042201,9.70,80.70
090713-042301,9.70,80.90
090713-042402,9.70,81.00
090713-042502,9.70,81.00
090713-042601,9.70,80.90
